Id,VALUE_1,VALUE_2,VALUE_3,VALUE_4,VALUE_5,VALUE_6,VALUE_7,VALUE_8
22159,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,40581.00000000000,0.00000000000,0.00000000000
22160,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,40581.04000000000,0.00000000000,0.00000000000
22161,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,40580.96000000000,0.00000000000,0.00000000000
22162,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,40581.12000000000,0.00000000000,0.00000000000
22163,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,40580.96000000000,0.00000000000,0.00000000000
22164,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,40581.04000000000,0.00000000000,0.00000000000
22165,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,40581.00000000000,0.00000000000,0.00000000000
22166,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,40581.04000000000,0.00000000000,0.00000000000
22167,0.00000000000,65.08000000000,16008.64000000000,722.72000000000,33.84000000000,14072.48000000000,9678.28000000000,0.00000000000
22168,3399.44000000000,3.04000000000,15233.16000000000,142.04000000000,0.36000000000,14579.80000000000,7223.12000000000,0.00000000000
22169,3398.92000000000,23.52000000000,15516.48000000000,1044.20000000000,42.64000000000,15570.08000000000,4985.20000000000,0.00000000000
22170,1455.92000000000,58.64000000000,13099.00000000000,821.28000000000,163.48000000000,19056.92000000000,5925.76000000000,0.00000000000
22171,11796.08000000000,12256.32000000000,7103.76000000000,3322.80000000000,3472.64000000000,499.04000000000,2130.40000000000,0.00000000000
22172,17027.36000000000,10656.72000000000,4864.36000000000,3652.76000000000,3902.24000000000,0.00000000000,477.48000000000,0.00000000000
22173,17529.36000000000,11988.88000000000,4313.12000000000,3730.56000000000,3015.72000000000,0.00000000000,3.36000000000,0.00000000000
22174,19987.84000000000,6456.64000000000,8256.12000000000,1192.48000000000,1706.92000000000,2328.16000000000,652.76000000000,0.00000000000
22175,11032.64000000000,12032.28000000000,9779.96000000000,2025.12000000000,4233.60000000000,0.00000000000,1477.40000000000,0.00000000000
22176,3310.44000000000,3280.44000000000,15362.08000000000,2679.56000000000,12952.00000000000,0.00000000000,2996.48000000000,0.00000000000
22177,14678.60000000000,9558.76000000000,4684.36000000000,3188.88000000000,7054.28000000000,0.00000000000,1416.12000000000,0.00000000000
22178,11802.44000000000,10068.72000000000,4914.68000000000,3947.84000000000,8422.64000000000,0.00000000000,1424.76000000000,0.00000000000
22179,12045.12000000000,11046.24000000000,4896.04000000000,3500.44000000000,8009.12000000000,0.00000000000,1084.08000000000,0.00000000000
22180,10568.40000000000,8135.80000000000,7026.28000000000,3459.44000000000,8864.64000000000,0.00000000000,2526.48000000000,0.00000000000
22181,11436.40000000000,14333.12000000000,2962.84000000000,3282.08000000000,8295.88000000000,0.00000000000,270.72000000000,0.00000000000
22182,9976.48000000000,1965.24000000000,21130.36000000000,1395.64000000000,2710.32000000000,0.00000000000,3402.92000000000,0.00000000000
22183,14846.20000000000,6194.40000000000,10924.08000000000,1433.16000000000,1933.12000000000,0.00000000000,5250.12000000000,0.00000000000
22184,7811.40000000000,972.24000000000,3924.72000000000,100.64000000000,131.96000000000,26411.32000000000,1228.72000000000,0.00000000000
22185,2839.64000000000,107.60000000000,144.80000000000,28.16000000000,1.32000000000,37385.56000000000,73.96000000000,0.00000000000
22494,5243.20000000000,4453.24000000000,11098.40000000000,534.76000000000,257.60000000000,0.00000000000,19018.80000000000,0.00000000000
22495,165.76000000000,14.20000000000,30342.88000000000,3605.08000000000,304.64000000000,0.00000000000,6160.64000000000,0.00000000000
22496,2056.32000000000,201.76000000000,25601.64000000000,2007.68000000000,404.32000000000,0.00000000000,10334.32000000000,0.00000000000
22497,15686.68000000000,10647.64000000000,7893.16000000000,2250.36000000000,3167.84000000000,0.00000000000,960.32000000000,0.00000000000
22498,14809.40000000000,8486.32000000000,6064.04000000000,4304.80000000000,5419.60000000000,0.00000000000,1521.84000000000,0.00000000000
22499,11998.48000000000,9728.08000000000,7395.00000000000,3455.12000000000,4871.24000000000,0.00000000000,3158.16000000000,0.00000000000
22500,11561.44000000000,7285.08000000000,10072.52000000000,2096.08000000000,5296.88000000000,0.00000000000,4294.00000000000,0.00000000000
22501,15560.96000000000,10980.84000000000,6892.88000000000,3127.64000000000,2419.32000000000,0.00000000000,1624.44000000000,0.00000000000
22502,17324.60000000000,9216.52000000000,5989.56000000000,4513.84000000000,2338.64000000000,0.00000000000,1222.84000000000,0.00000000000
22503,17288.04000000000,10627.24000000000,5478.24000000000,3154.04000000000,3486.60000000000,0.00000000000,571.92000000000,0.00000000000
22504,18112.00000000000,6422.40000000000,8797.72000000000,872.28000000000,2639.56000000000,0.00000000000,3762.04000000000,0.00000000000
22505,4849.32000000000,2641.84000000000,29315.96000000000,977.72000000000,1484.24000000000,0.00000000000,1336.92000000000,0.00000000000
22506,4633.84000000000,4059.16000000000,22381.24000000000,900.28000000000,2806.68000000000,0.00000000000,5824.76000000000,0.00000000000
22507,19842.44000000000,7676.52000000000,5413.80000000000,2917.48000000000,4026.08000000000,0.00000000000,729.68000000000,0.00000000000
22508,10476.92000000000,8612.04000000000,10038.52000000000,3166.64000000000,5542.04000000000,0.00000000000,2769.84000000000,0.00000000000
22509,15068.72000000000,10538.16000000000,6664.72000000000,4061.56000000000,3430.00000000000,0.00000000000,842.84000000000,0.00000000000
22510,10453.88000000000,4630.16000000000,12744.80000000000,2780.92000000000,4040.20000000000,2050.64000000000,3905.32000000000,0.00000000000
22511,15805.36000000000,12348.08000000000,5863.20000000000,3074.64000000000,3006.32000000000,0.00000000000,508.40000000000,0.00000000000
